bin,lon_rad,lon_deg,lat_summer_rad,lat_summer_deg,lat_winter_rad,lat_winter_deg
330,2.62672,150.499995,0.392734,22.502005,-0.392699,-22.500021
331,2.644174,151.500003,0.392712,22.500737,-0.3927,-22.500035
332,2.661627,152.499997,0.39269,22.4995,-0.3927,-22.500055
333,2.67908,153.500005,0.392667,22.49816,-0.392701,-22.500083
334,2.696534,154.499999,0.392639,22.496531,-0.392701,-22.500127
335,2.713987,155.499994,0.392602,22.494412,-0.392702,-22.50019
336,2.73144,156.500002,0.392553,22.491606,-0.392704,-22.500279
337,2.748893,157.499996,0.392488,22.487915,-0.392706,-22.500402
338,2.766347,158.500004,0.392404,22.483079,-0.392709,-22.500568
339,2.7838,159.499998,0.392291,22.476609,-0.392713,-22.500791
340,2.801254,160.500006,0.39214,22.467962,-0.392718,-22.501093
341,2.818707,161.500001,0.391941,22.456588,-0.392725,-22.501495
342,2.83616,162.499995,0.391686,22.441941,-0.392734,-22.502016
343,2.853613,163.500003,0.391361,22.423357,-0.392746,-22.502678
344,2.871067,164.499997,0.390949,22.399708,-0.392761,-22.503525
345,2.88852,165.500005,0.390426,22.369744,-0.392779,-22.504597
346,2.905973,166.5,0.389771,22.332219,-0.392803,-22.505943
347,2.923426,167.499994,0.388962,22.285886,-0.392832,-22.507606
348,2.94088,168.500002,0.387975,22.229354,-0.392867,-22.509633
349,2.958333,169.499996,0.386776,22.160656,-0.39291,-22.512093
350,2.975786,170.500004,0.385328,22.077675,-0.392962,-22.515056
351,2.99324,171.499999,0.383594,21.978299,-0.393024,-22.518592
352,3.010693,172.500007,0.381536,21.860415,-0.393097,-22.522774
353,3.028146,173.500001,0.379118,21.721856,-0.393182,-22.52767
354,3.045599,174.499995,0.376297,21.560245,-0.393281,-22.533352
355,3.063053,175.500003,0.373032,21.373156,-0.393395,-22.539887
356,3.080506,176.499998,0.36928,21.158159,-0.393525,-22.547347
357,3.09796,177.500006,0.364998,20.912823,-0.393673,-22.555802
358,3.115413,178.5,0.360148,20.634941,-0.393839,-22.565306
359,3.132866,179.499994,0.354706,20.323172,-0.394023,-22.575874
